Treatment,Parameters,Replicate #,Organism ID,Update Born,Task Count
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,1,-1,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,17834,3941,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,26213,5779,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,27087,5973,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,72112,15972,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,83663,18574,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,85264,18928,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,89895,19959,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,92641,20551,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,95349,21147,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,104415,23254,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,106133,23632,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,109758,24454,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,118041,26331,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,138402,30962,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,157825,35745,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,168702,38464,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,171134,39060,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,175276,40105,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,176142,40305,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,186595,42789,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,209329,48387,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,210764,48739,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,227177,52927,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,229001,53388,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,232145,54176,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,240988,56449,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,243889,57184,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,248640,58352,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,253150,59469,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,255830,60127,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,257490,60549,0
