Treatment,Replicate #,Organism ID,Update Born,Task Count
1,1035,1,-1,0
1,1035,2,25,0
1,1035,17,81,0
1,1035,8582,305,0
1,1035,25286,592,0
1,1035,35024,763,0
1,1035,42602,893,0
1,1035,49452,1010,0
1,1035,64863,1265,0
1,1035,76059,1446,0
1,1035,87459,1614,0
1,1035,90326,1655,1
1,1035,90938,1663,0
1,1035,96487,1741,0
1,1035,97152,1751,1
1,1035,104592,1857,1
1,1035,116677,2031,2
1,1035,126958,2178,2
1,1035,133905,2276,3
1,1035,139017,2348,3
1,1035,142986,2404,3
1,1035,154085,2564,3
1,1035,156352,2597,3
1,1035,166939,2748,3
1,1035,174550,2853,3
1,1035,178893,2914,3
1,1035,192004,3094,3
1,1035,231697,3646,3
1,1035,244419,3823,3
1,1035,245115,3833,3
1,1035,282562,4363,3
1,1035,285057,4398,3
1,1035,298228,4586,4
1,1035,300939,4624,4
1,1035,314370,4823,4
1,1035,317778,4872,4
1,1035,322404,4942,5
1,1035,328538,5033,5
1,1035,333176,5102,5
1,1035,366323,5598,5
1,1035,370644,5662,5
1,1035,386193,5895,5
1,1035,459155,6979,5
1,1035,471276,7158,5
1,1035,480005,7288,5
1,1035,503304,7632,5
1,1035,516215,7820,5
1,1035,524316,7941,5
1,1035,530248,8029,5
1,1035,548837,8304,6
1,1035,606418,9153,6
1,1035,630199,9498,6
1,1035,636255,9585,6
1,1035,641702,9664,6
1,1035,643327,9688,6
1,1035,658234,9903,6
1,1035,674144,10136,6
1,1035,675229,10152,6
1,1035,687473,10329,6
1,1035,688053,10337,6
1,1035,694781,10434,6
1,1035,697048,10467,6
1,1035,699271,10498,7
1,1035,726252,10893,7
1,1035,754720,11303,7
1,1035,769013,11511,7
1,1035,779313,11661,7
1,1035,779776,11668,7
1,1035,780245,11675,7
1,1035,819241,12228,7
1,1035,821900,12265,7
1,1035,844816,12566,7
1,1035,872185,12898,7
1,1035,892282,13134,7
1,1035,944627,13733,7
1,1035,980284,14126,7
1,1035,992015,14253,7
1,1035,1050510,14885,7
1,1035,1066533,15057,7
1,1035,1102716,15448,7
1,1035,1104680,15469,7
1,1035,1194541,16444,7
1,1035,1254716,17078,7
1,1035,1278478,17324,7
1,1035,1287768,17419,7
1,1035,1293400,17477,7
