Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Information Type,Information,Information Concentration
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,Task Count,48.0,0.47999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,gest_time,65.0,0.65000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,comp_merit,48.0,0.47999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,merit,48.0,0.47999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,fitness,83.0,0.82999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,efficiency,68.0,0.68000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,viable,20.0,0.20000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,Task Count,58.0,0.49572649572649574
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,gest_time,63.0,0.53846153846153844
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,comp_merit,58.0,0.49572649572649574
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,merit,60.0,0.51282051282051277
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,fitness,89.0,0.76068376068376065
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,efficiency,63.0,0.53846153846153844
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,viable,19.0,0.1623931623931624
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,Task Count,65.0,0.43624161073825501
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,gest_time,88.0,0.59060402684563762
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,comp_merit,65.0,0.43624161073825501
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,merit,70.0,0.46979865771812079
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,fitness,109.0,0.73154362416107388
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,efficiency,88.0,0.59060402684563762
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,viable,20.0,0.13422818791946309
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1640,Task Count,52.0,0.46017699115044247
