Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Organism ID,Update Born,Task Count
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1824,19755248,199591,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1803,18575950,199858,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1815,19451026,199431,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1821,21329060,199088,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1819,16486641,199680,6
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1825,17533588,199506,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1800,18181064,199094,6
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1804,18938266,199621,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1810,17708436,199594,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1822,17938392,199332,6
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1826,17701172,199292,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1805,23160086,199793,6
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1811,25962386,199647,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1809,18861440,199380,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1823,18657698,199589,6
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1827,18741240,199462,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1806,23421681,199696,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1812,18257368,199761,6
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1816,18388954,199201,6
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1828,19146326,199635,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1807,20645386,199501,6
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1801,18398628,199630,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1813,17743212,199172,8
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1817,22010073,199728,5
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1829,18201373,199609,6
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1808,23512342,199601,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1802,18724563,199765,5
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1814,17877484,199686,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1820,18374928,199051,7
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1818,18954988,199764,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1896,17282185,199259,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1907,21809594,199836,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1913,17517515,199558,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1897,17886912,198989,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1891,20181020,199761,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1910,20814202,199773,5
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1908,19438999,199638,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1914,20434068,199696,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1918,20353783,199710,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1892,20699117,199718,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1909,24123482,199761,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1915,19552799,199620,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1919,20499849,199677,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1900,19150493,199792,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1893,18469780,199738,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1904,19296384,199839,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1916,18643317,199755,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1890,18737735,199538,8
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1901,23349998,199652,8
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1894,18695333,199178,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1905,20382086,199666,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1898,17185911,199589,5
