Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Organism ID,Update Born,Task Count
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2016,6291447,197932,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2010,14161474,199716,376
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2022,11893832,197230,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2026,9374511,198903,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2038,14827155,199149,181
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2011,11792801,198985,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2023,16902477,199261,172
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2027,10788387,199534,110
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2039,6754486,199317,472
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2033,7218119,198905,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2012,12072127,199707,235
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2024,7994265,199240,165
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2030,14590657,199494,184
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2028,15420228,199420,133
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2034,15612053,199086,139
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2013,18768593,199070,143
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2017,8939008,199868,417
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2031,17984132,199365,224
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2029,20611875,199301,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2035,16268883,199265,146
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2014,18315261,198147,160
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2020,18537977,199821,132
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2018,14301963,199349,181
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2032,16201787,198995,128
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2036,2895507,199463,965
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2015,19677147,199595,143
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2021,5528706,197970,242
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2019,15530106,198975,156
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2025,5300397,199395,977
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2037,5631768,199584,758
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2120,18928035,199372,112
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2111,14523544,199266,234
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2109,18588344,198773,114
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2115,20850579,199448,123
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2121,11781637,197992,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2100,14528871,199377,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2116,6062788,195170,105
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2122,18467741,199702,235
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2101,14265304,197376,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2105,17541801,199168,175
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2117,19250278,199435,102
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2123,12026456,199013,106
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2127,12867597,198570,112
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2102,20546066,199586,118
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2106,18555156,198648,115
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2118,17846242,198575,111
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2112,4219311,195711,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2124,5760359,197856,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2128,18392919,199419,114
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2103,20773123,199184,113
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2107,11418502,198409,107
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2119,12812848,199398,111
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2113,18767360,199472,109
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,2125,13813918,199712,170
