Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Organism ID,Update Born,Task Count
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2016,6291447,197932,25
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2010,14161474,199716,18
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2022,11893832,197230,23
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2026,9374511,198903,20
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2038,14827155,199149,12
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2011,11792801,198985,18
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2023,16902477,199261,24
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2027,10788387,199534,23
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2039,6754486,199317,13
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2033,7218119,198905,23
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2012,12072127,199707,13
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2024,7994265,199240,22
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2030,14590657,199494,14
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2028,15420228,199420,8
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2034,15612053,199086,12
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2013,18768593,199070,19
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2017,8939008,199868,18
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2031,17984132,199365,22
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2029,20611875,199301,15
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2035,16268883,199265,13
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2014,18315261,198147,15
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2020,18537977,199821,13
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2018,14301963,199349,16
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2032,16201787,198995,10
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2036,2895507,199463,24
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2015,19677147,199595,14
