Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Length,Number of Coding Sites,Fraction of Redundant Non-Coding Sites
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1533,116,40,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1545,100,53,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1551,100,55,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1549,119,63,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1555,112,60,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1530,100,51,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1534,112,62,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1546,121,47,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1540,100,54,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1552,113,45,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1556,100,39,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1531,115,45,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1535,100,38,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1541,121,47,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1539,100,48,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1553,110,51,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1557,100,53,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1536,100,46,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1542,100,36,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1558,121,66,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1537,100,43,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1543,100,49,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1547,100,49,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1559,114,64,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1538,121,43,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1532,121,48,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1544,118,69,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1550,100,31,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1548,100,47,0
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1554,100,46,0
