Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Organism ID,Update Born,Task Count
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,21818483,198469,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,18603933,199567,117
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,16254391,199669,149
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1640,19401843,199586,113
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1638,18787017,199627,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,17184324,199408,115
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1623,18108346,199692,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1627,15179655,199627,162
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,18272687,199588,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,18666739,199397,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,19304709,199760,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,15166896,199379,156
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,18621888,199445,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1630,13673761,199494,167
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1628,20617043,199597,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1634,17893242,199796,105
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1646,17803803,199314,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1625,7501225,199678,374
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1631,18427195,199544,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1629,18895702,199867,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1635,14132996,199666,183
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1647,19429772,198957,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1626,12233451,199750,179
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1620,19958936,199850,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1632,19221498,199581,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1636,20352141,199700,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1648,19424940,199357,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1642,18283241,199766,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1621,17923533,199464,100
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1633,21507439,199613,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1533,21781879,199456,116
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1545,20663005,199426,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1551,17421225,199514,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1549,20230767,199275,119
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1555,20672625,199786,112
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1530,17092867,199546,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1534,21198425,199675,112
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1546,19947845,199676,121
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1540,22944352,199533,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1552,20786851,199740,113
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1556,21193229,199909,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1531,21669326,199734,115
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1535,21955521,199587,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1541,19183279,199826,121
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1539,22797155,199468,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1553,22303931,199648,110
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1557,19492581,199248,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1536,22533435,199709,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1542,21416101,199781,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1558,19258461,199671,121
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1537,18242355,199222,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1543,18339088,199236,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1547,21907113,199477,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1559,19150902,199609,114
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1538,21734293,199774,121
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1532,19572275,199858,121
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1544,19311524,199549,118
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1550,17880729,199460,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1548,19807440,199742,100
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1554,25471539,199417,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1566,46742828,199966,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1572,46360627,199976,103
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1588,43124326,199755,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1567,48623473,199915,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1573,47010169,199939,104
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1577,39811915,199926,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1589,46157314,199919,101
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1568,47568723,199937,102
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1562,42208497,199974,104
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1574,42976888,199963,106
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1580,46904439,199973,103
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1578,10653904,199866,233
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1584,48036452,199967,101
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1563,47705735,199967,101
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1575,41830068,199922,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1581,35050006,199923,105
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1579,41702197,199905,103
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1585,44781214,199942,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1560,48117036,199978,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1564,47913639,199962,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1576,47163550,199929,101
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1570,40542632,199976,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1582,46872259,199913,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1586,39996156,199973,102
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1561,48603967,199964,103
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1565,45963189,199897,102
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1571,46826258,199950,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1569,44713330,199949,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1583,46368601,199921,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1587,44686404,199926,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1676,18190650,199716,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1655,18739176,199736,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1661,21952979,199392,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1659,18117889,199215,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1665,22160574,199394,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1677,20711480,199234,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1656,18107494,199767,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1650,18709985,199658,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1662,18535418,199022,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1666,25627619,199483,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1678,18580649,199675,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1672,14086729,199681,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1651,18180435,199576,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1663,18528417,199485,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1667,18599638,199781,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1673,22376433,199466,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1652,14838480,199727,139
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1670,18699557,199634,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1668,18226147,199781,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1674,18783653,199319,100
