Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Length,Task Coding Sites Average,Task Coding Sites Standard Deviation,Information Type,Information,Information Concentration
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,100,19.142857142857142,3.0904725218262765,Task Count,48.0,0.47999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,100,19.142857142857142,3.0904725218262765,gest_time,65.0,0.65000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,100,19.142857142857142,3.0904725218262765,comp_merit,48.0,0.47999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,100,19.142857142857142,3.0904725218262765,merit,48.0,0.47999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,100,19.142857142857142,3.0904725218262765,fitness,83.0,0.82999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,100,19.142857142857142,3.0904725218262765,efficiency,68.0,0.68000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1637,100,19.142857142857142,3.0904725218262765,viable,20.0,0.20000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,117,22.875,8.7811943948417408,Task Count,58.0,0.49572649572649574
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,117,22.875,8.7811943948417408,gest_time,63.0,0.53846153846153844
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,117,22.875,8.7811943948417408,comp_merit,58.0,0.49572649572649574
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,117,22.875,8.7811943948417408,merit,60.0,0.51282051282051277
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,117,22.875,8.7811943948417408,fitness,89.0,0.76068376068376065
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,117,22.875,8.7811943948417408,efficiency,63.0,0.53846153846153844
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1643,117,22.875,8.7811943948417408,viable,19.0,0.1623931623931624
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,149,29.777777777777779,7.799968344348553,Task Count,65.0,0.43624161073825501
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,149,29.777777777777779,7.799968344348553,gest_time,88.0,0.59060402684563762
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,149,29.777777777777779,7.799968344348553,comp_merit,65.0,0.43624161073825501
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,149,29.777777777777779,7.799968344348553,merit,70.0,0.46979865771812079
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,149,29.777777777777779,7.799968344348553,fitness,109.0,0.73154362416107388
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,149,29.777777777777779,7.799968344348553,efficiency,88.0,0.59060402684563762
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1622,149,29.777777777777779,7.799968344348553,viable,20.0,0.13422818791946309
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1640,113,26.428571428571427,4.7766438563715683,Task Count,52.0,0.46017699115044247
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1640,113,26.428571428571427,4.7766438563715683,gest_time,80.0,0.70796460176991149
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1640,113,26.428571428571427,4.7766438563715683,comp_merit,52.0,0.46017699115044247
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1640,113,26.428571428571427,4.7766438563715683,merit,55.0,0.48672566371681414
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1640,113,26.428571428571427,4.7766438563715683,fitness,94.0,0.83185840707964598
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1640,113,26.428571428571427,4.7766438563715683,efficiency,80.0,0.70796460176991149
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1640,113,26.428571428571427,4.7766438563715683,viable,19.0,0.16814159292035399
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1638,100,28.333333333333332,3.2489314482696541,Task Count,55.0,0.55000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1638,100,28.333333333333332,3.2489314482696541,gest_time,68.0,0.68000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1638,100,28.333333333333332,3.2489314482696541,comp_merit,55.0,0.55000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1638,100,28.333333333333332,3.2489314482696541,merit,59.0,0.58999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1638,100,28.333333333333332,3.2489314482696541,fitness,84.0,0.83999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1638,100,28.333333333333332,3.2489314482696541,efficiency,69.0,0.68999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1638,100,28.333333333333332,3.2489314482696541,viable,17.0,0.17000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,Task Count,61.0,0.5304347826086957
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,gest_time,64.0,0.55652173913043479
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,comp_merit,61.0,0.5304347826086957
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,merit,64.0,0.55652173913043479
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,fitness,91.0,0.79130434782608694
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,efficiency,74.0,0.64347826086956517
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,viable,21.0,0.18260869565217391
